ip.src,ip.dst,ip.proto,ip.checksum,tcp.srcport,tcp.dstport,tcp.flags,frame.len,frame.time_epoch
"10.117.77.120","10.117.77.115","6","0x7ae5","3459","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0x4ceb","3487","80","0x0002","60","1717611734.499738000"
"10.117.77.120","10.117.77.115","6","0xaa62","3462","80","0x0002","60","1717611734.499744000"
"10.117.77.119","10.117.77.115","6","0xe4dd","2141","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xdb67","3490","80","0x0002","60","1717611734.499738000"
"10.117.77.120","10.117.77.115","6","0x8417","3463","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xea16","3491","80","0x0002","60","1717611734.499738000"
"10.117.77.120","10.117.77.115","6","0xa40d","3464","80","0x0002","60","1717611734.499744000"
"10.117.77.119","10.117.77.115","6","0x8105","2150","80","0x0002","60","1717611734.499738000"
"10.117.77.120","10.117.77.115","6","0x657f","3465","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0x5498","3488","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xe81e","3468","80","0x0002","60","1717611734.499744000"
"10.117.77.119","10.117.77.115","6","0x12ad","2144","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xb958","3469","80","0x0002","60","1717611734.499744000"
"10.117.77.119","10.117.77.115","6","0xedcd","2145","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0x58fc","3474","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xe2d2","3475","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xa74b","3478","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xcbc5","3479","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0x5b83","3480","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0x2bee","3481","80","0x0002","60","1717611734.499744000"
"10.117.77.119","10.117.77.115","6","0x6cb9","2148","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xa5f3","3484","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xe3de","3485","80","0x0002","60","1717611734.499744000"
"10.117.77.119","10.117.77.115","6","0x5a38","2149","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0xf41d","3489","80","0x0002","60","1717611734.499744000"
"10.117.77.120","10.117.77.115","6","0x238c","3492","80","0x0002","60","1717611734.499744000"
"10.117.77.119","10.117.77.115","6","0xab95","2151","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0x6e18","3494","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0x115d","3495","80","0x0002","60","1717611734.500091000"
"10.117.77.119","10.117.77.115","6","0x0ffc","2152","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0xda22","3500","80","0x0002","60","1717611734.500091000"
"10.117.77.119","10.117.77.115","6","0xd4b0","2153","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0xce66","3501","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0x8c4d","3507","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0xef84","3506","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0xfc31","3510","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0x672e","3493","80","0x0002","60","1717611734.500093000"
"10.117.77.120","10.117.77.115","6","0xc294","3511","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0x7883","3498","80","0x0002","60","1717611734.500093000"
"10.117.77.119","10.117.77.115","6","0x8d20","2156","80","0x0002","60","1717611734.500091000"
"10.117.77.120","10.117.77.115","6","0x31b8","3499","80","0x0002","60","1717611734.500093000"
"10.117.77.120","10.117.77.115","6","0xfc5e","3502","80","0x0002","60","1717611734.500093000"
"10.117.77.120","10.117.77.115","6","0x582f","3512","80","0x0002","60","1717611734.500091000"
